Encounter,Year ,Month,Date,Manta Individual,Ided by,Name,ID Shot?,Sex,Age Class,Pigmentation,Latitude,Longitude,Time Observed,Water Depth (ft),Water Depth (m),Water Temperature (°F),Water Temperature (°C),Dissolved Oxygen (mg/L),Salinity (ppt),Habitat,Disc Width (ft),Disc Width (m),How Disc Width Measured,Encounter Length (minutes),Behavioral Index,Behavior,Feeding,Somersault/Barrel Roll,Travel Direction,Tide,Within 1 km of inlet,Tide Chart Used,Distance to Closest Inlet (km),Which Inlet,Distance to Closest Pier/Jetty,Which Pier,Within 1 km of Pier or Inlet,New Fishing Gear,Fishing Gear Location,Old Fishing Gear Present,2nd Fishing Gear Location,New Injury?,Injury Location,Injury Cause,Recent?,More Injuries?,Associated Species Analysis,Acoustic Tag,Satellite Tag,Genetic Sample,Mucous Sample,Zooplankton Sample,Dorsal Photo,Ventral Photo,Adopted/Named By,Notes,MM Encounter,Verfied,Resting T/F,Feeding T/F
355,2021,Nov,11/26/2021,121,FMP Survey,,Yes,Male,Immature,Normal,26.531110,-80.045853,12:24,Not recorded,,Not recorded,,,,Sand,,,Not Estimated,Not Recorded,Not Recorded,Traveling,N/A,N/A,North,Flood,No,BBI,1.6,BBI,1.6,BBI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,Found two mantas (Manta 121 and Manta 86) with drone traveling north at 12:24. Got in for a quick ID shot and left.,7bf38102-894f-457d-91f7-f74bb3987911,VF 9/25/22,0,0
356,2021,Nov,11/26/2021,86,FMP Survey,Crawford,Yes,Male,Immature,Normal,26.542520,-80.042030,12:24,12.2,3.72,76.6,24.78,,,Sand,,,Not Estimated,53,2,Traveling,N/A,N/A,North,Flood,Yes,BBI,0.3,BBI,0.3,BBI,Yes,Yes,"No Hook Visible, Line Entanglement",N/A,Ventral Pectoral,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found two mantas (Manta 121 and Manta 86) with drone traveling north at 12:24. Didn't get GPS until 12:55. Manta 86 had fishing line wrapped tightly around right pectoral fin. BT managed to trim up about 15 ft of line. We tried for a long time to cut wrapped line but unsuccessful. Two hooks- one lateral to right eye (old from 10/11/21) and one just posterior to large black spot on pectoral fin. Followed manta to N of inlet. Manta pooped (BT thought it looked like possible vomit). Manta pretty tolerant of efforts to remove fishing line, but we werent able to get it. Left at 13:17.",0332c719-1a1e-4ba7-a66d-483907e26d72,VF 9/25/22,0,1
357,2021,Nov,11/28/2021,88,FMP Survey,Nemo,Yes,Male,Immature,Normal,26.548040,-80.038370,9:34,16,4.88,74.9,23.83,5.68,35.5,Sand,8,2.4,Field Estimation,11,1,Traveling,N/A,N/A,South,Ebb,Yes,BBI,0.5,BBI,0.5,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,Yes,Yes,Yes,,Found 3 mantas north of BBI at 9:21. ZP sampled. 9:34 got in with Manta 88. He was very avoidant of boat. BT got ID shot. Left at 9:45.,d8e9b45b-80db-4de0-86b1-c22e4b9bab91,VF 9/27/22,0,1
358,2021,Nov,11/28/2021,59,FMP Survey,Hugo,Yes,Male,Immature,Normal,26.544090,-80.041790,9:50,8.3,2.53,74.9,23.83,5.68,35.5,Sand,9.06,2.8,Laser Photogrammetry,47,2,Feeding,Bottom,No,Not Recorded,Low,Yes,BBI,0.1,BBI,0.1,BBI,Yes,Yes,Anterior Dorsal,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,Yes,No,Yes,Yes,Yes,,"Found Manta 59 just N of BBI at 9:50. Got quick ID shot then ZP sampled on sandbar. Found again at 10:12. BT easily got ID shot, measured with lasers and took genetic sample (#13) on right side. Genetic sample bled. CP saw small hook in upper left jaw- can barely see it in video. Left at 10:34. 08/22 VF classified behavior as feeding, manta can be seen bottom feeding in some videos and drone footage before divers got close.",bd0009c9-5d56-4850-a63d-89d91e27c0c5,VF 9/27/22,0,1
359,2021,Nov,11/28/2021,86,FMP Survey,Crawford,Yes,Male,Immature,Normal,26.540490,-80.037070,10:48,43.1,13.14,75.3,24.06,,,Sand,,,Not Estimated,99,Not Recorded,Feeding,Bottom,No,Not Recorded,Low,Yes,BBI,0.7,BBI,0.7,BBI,Yes,No,N/A,Yes,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"First found east of BBI at 10:48. Got in for quick ID shot. Found again at 12:17. BT got in to photograph fishing line (good photos) and VF attempted to remove fishing line- unsuccesful. Left at 12:27. 08/22 VF classified behavior as feeding, manta can be seen bottom feeding in some videos before divers got close.",bf0b7f37-158c-4e5d-bdf3-6a1e92567dbf,VF 9/28/22,0,0
360,2021,Nov,11/28/2021,121,FMP Survey,,Yes,Male,Immature,Normal,26.541610,-80.037110,10:56,41.9,12.77,75.6,24.22,,,Sand,,,Not Estimated,168,3,Feeding,Bottom,No,Not Recorded,Low,Yes,BBI,0.6,BBI,0.6,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,Yes,Yes,,"Found at 10:56. BT, CP and LB got in and manta upside down swam. Left after first swim at 11:08. 08/22 VF classified behavior as feeding, manta can be seen bottom feeding after upside down swimming. Found again at 13:44.",2c89fa5e-2ab5-4d68-abb1-78c4425ebb2f,VF 9/28/22,0,0
361,2021,Nov,11/28/2021,118,FMP Survey,Maite,Yes,Female,Unknown,Normal,26.545040,-80.037680,11:11,24.7,7.53,75.8,24.33,,,Sand,8.86,2.7,Drone Estimation,24,1,Not Determined,N/A,N/A,Not Recorded,Low,Yes,BBI,0.4,BBI,0.4,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,Yes,No,No,No,Yes,Yes,,"Found Manta 118 at 11:11. Sat tag on right side- beginning to foul and want to remove. Initially very skittish, but calmed down as we tried to remove the tag. When BT or CP would take a dive manta would flip over when diver got close. CP got hands on tag once but didn't get purchase to cut line. Manta swam out into 40 ft of water staying on bottom. Gave up and left her at 11:35.",cca4c412-08d9-4c5d-acb5-6d5d2fd32099,VF 9/28/22,0,0
362,2021,Nov,11/28/2021,117,FMP Survey,Larry Lee,Yes,Female,Unknown,Normal,26.549640,-80.038900,12:32,14.6,4.45,76.4,24.67,,,Sand,,,Field Estimation,6,1,Not Determined,N/A,N/A,Not Recorded,Flood,Yes,BBI,0.6,BBI,0.6,BBI,Yes,No,N/A,Yes,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,Found Manta 117 at 12:32. BT got in and got ID shot. Fairly skittish. Still has same fishing line that is now trailing left side dorsally. Left at 12:37.,8bc58ba7-13c0-4e80-9c5c-940870a68cf6,VF 9/28/22,0,0
363,2021,Nov,11/28/2021,96,FMP Survey,Scarface,Yes,Male,Immature,Normal,26.549040,-80.037430,12:45,22,6.71,76.4,24.67,,,Sand,8.62,2.6,Laser Photogrammetry,25,1,Traveling,N/A,N/A,South,Flood,Yes,BBI,0.6,BBI,0.6,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 96 traveling south at 12:45. VF and BT got in. Manta upside down swam for a bit. VF measured with lasers. BT tried to get photo of healed injury on right side of face, but manta not allowing him to be on that side (possibly vision problem in that eye from injury??). Left at 13:00. Followed him with drone by N BBI jetty. Increased speed at one point as if he'd been hit with fishing line. Got in with him east of BBI to check and didn't see any fishing line. Left at 13:10.",018dcdb1-5305-4d09-b95d-f6b48a7a0456,VF 9/28/22,0,1
364,2021,Nov,11/29/2021,123,FMP Survey,,Yes,Male,Immature,Normal,26.560460,-80.038940,9:36,8.4,2.56,75.1,23.94,,,Sand,7.66,2.3,Laser Photogrammetry,42,3,Traveling,N/A,N/A,South,Ebb,No,BBI,1.7,BBI,1.7,BBI,No,Yes,Ventral Pectoral,N/A,N/A,Yes,Ventral,Unknown,Recent,Yes,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 123 traveling south at 9:36. VF got ID on second try. VF estimated DW at 7.5 ft, but also measured with lasers. Behavior was orginally 1 but manta became very tolerant when trying to remove fishing gear. Manta had fishing lure on leading edge of left pectoral fin with ~3ft of line with another lure attached to that. VF able to remove dangling lure. Divers tried multiple times to cut hook off. Were able to try with wire cutters, but hook metal was too thick. Manta very calm and allowing interaction. Injuy lateral to right gill slits- fresh- maybe from hook? Another injury (not noticed until 12/5/21 on lateral leading edge of left pectoral fin- maybe from hook as well?)",ca278711-6b03-438f-aaa0-16c61dc2bb99,VF 9/28/22,0,1
365,2021,Nov,11/29/2021,78,FMP Survey,Sasquatch,Yes,Male,Immature,Normal,26.543640,-80.040640,10:27,9.3,2.84,74,23.33,5.86,35,Sand,,,Not Estimated,43,2,Feeding,Bottom,No,None,Ebb,Yes,BBI,0.2,BBI,0.2,BBI,Yes,No,N/A,Yes,N/A,Yes,Pectoral fin,Fishing line,Healed,Yes,Yes,No,No,No,No,Yes,Yes,Yes,,Found Manta 78 at 10:27 south of BBI. VF got ID shot. Saw again at 11:08 and Emily managed to cut fishing line off (on video). Manta pretty chill. Notch on lateral right pectoral fin from fishing line and scar just medial to that. This is the first time this injury was noticed. Left 11:10.,d782b536-5e30-4aee-83a1-5b8bb5a7d425,VF 9/28/22,0,1
366,2021,Nov,11/29/2021,117,FMP Survey,Larry Lee,Yes,Female,Unknown,Normal,26.543790,-80.040450,11:00,9.8,2.99,74,23.33,5.86,35,Sand,,,Not Estimated,174,1,Feeding,Bottom,No,None,Low,Yes,BBI,0.2,BBI,0.2,BBI,Yes,No,N/A,Yes,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,Yes,Yes,Yes,,"8 mantas feeding on bottom on sandbar south of BBI. ZP sampled. Unable to fly drone into NFZ at first, so just jumped in with passing mantas. Saw Larry Lee at 11:00. She still has same piece of fishing line. Saw Manta 117 at 13:53. CP got ID shot and left again at 13:54.",df54844c-90c7-4bdf-8468-11f060fde84f,VF 9/28/22,0,1
367,2021,Nov,11/29/2021,122,FMP Survey,,Yes,Female,Unknown,Normal,26.543790,-80.040450,11:11,9.8,2.99,74,23.33,5.86,35,Sand,,,Not Estimated,Not Recorded,Not Recorded,Feeding,Bottom,No,None,Low,Yes,BBI,0.2,BBI,0.2,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,Yes,Yes,Yes,,"8 mantas feeding on bottom on sandbar south of BBI. ZP sampled. Unable to fly drone into NFZ at first, so just jumped in with passing mantas. Saw Manta 122 at 11:11. CP got in with lasers but unable to see laser points in video.",69d7b0ae-fe19-447f-8b47-934ceb034ebf,VF 9/28/22,0,1
368,2021,Nov,11/29/2021,108,FMP Survey,Valentina,Yes,Female,Unknown,Normal,26.543790,-80.040450,11:16,9.8,2.99,74,23.33,5.86,35,Sand,,,Not Estimated,Not Recorded,2,Feeding,Bottom,No,None,Low,Yes,BBI,0.2,BBI,0.2,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,Yes,No,Yes,,"8 mantas feeding on bottom on sandbar south of BBI. ZP sampled. Unable to fly drone into NFZ at first, so just jumped in with passing mantas. Saw Valentina at 11:16.",15e53cc4-4872-4510-bafc-d1154a557a2d,VF 9/28/22,0,0
369,2021,Nov,11/29/2021,118,FMP Survey,Maite,Yes,Female,Unknown,Normal,26.543790,-80.040450,11:23,9.8,2.99,74,23.33,5.86,35,Sand,,,Not Estimated,43,2,Feeding,Bottom,No,None,Low,Yes,BBI,0.2,BBI,0.2,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,Yes,No,No,Yes,Yes,No,,"8 mantas feeding on bottom on sandbar south of BBI. ZP sampled. Unable to fly drone into NFZ at first, so just jumped in with passing mantas. Saw Maite at 11:23. Didn't get any underwater footage (someone missed ID shot and we didn't try again because we wanted to remove tag). We tried multiple times to remove satellite tag. Manta was skittish at the beginning then began to chill. CP actually managed to grab tag but not able to cut tether. Manta swam from shallow waters to offshore. Manta swimming slowly at bottom in 40 ft of water- too deep to dive to cut off tag. Left at 12:06.",d53630df-ff9e-4eb3-908d-b1811fc79da6,VF 9/28/22,0,0
370,2021,Nov,11/29/2021,59,FMP Survey,Hugo,Yes,Male,Immature,Normal,26.543127,-80.042070,12:18,8,2.44,74.2,23.44,,,Hardbottom,,,Not Estimated,7,2,Traveling,N/A,N/A,North,Low,Yes,BBI,0.2,BBI,0.2,BBI,Yes,No,N/A,Yes,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,Found Manta 59 west of artificial reef south of BBI at 12:18. JP got ID shot easily and Hugo was very chill. Left him at 12:25.,b7817a0e-3156-491c-bd9b-27d83a19713e,VF 9/28/22,0,0
371,2021,Nov,11/29/2021,64,FMP Survey,Skye,Yes,Male,Immature,Normal,26.539360,-80.040090,12:38,18.4,5.61,75,23.89,,,Sand,,,Not Estimated,61,3,Traveling,N/A,N/A,North,Low,Yes,BBI,0.7,BBI,0.7,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 64 traveling north at 12:38. Emily got in for ID shot and manta upside down swam for her. Found again at 13:33 (north of BBI 26.54888, -80.03766) and CP got ID shot. Left at 13:39.",e4dd3749-d387-4791-bfbd-292aa1cf4e81,VF 9/28/22,0,0
372,2021,Nov,11/29/2021,93,FMP Survey,Nova,Yes,Female,Unknown,Normal,26.544820,-80.038550,12:52,17.7,5.4,75.2,24,5.92,35.5,Sand,,,Not Estimated,38,3,Traveling,N/A,N/A,North,Flood,Yes,BBI,0.3,BBI,0.3,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,Found Manta 93 at 12:52. Super chill as always. Everyone got in. YSI sampled. Left at 13:10. Saw again at 13:25 still traveling north- just jumped in and got ID shot. Left at 13:30.,7863fdcc-a8d7-4cb0-b77f-2dce698ce85d,VF 9/28/22,0,0
373,2021,Nov,11/29/2021,121,FMP Survey,,Yes,Male,Immature,Normal,26.544470,-80.038850,13:16,15.4,4.7,75.4,24.11,5.92,35.5,Sand,,,Not Estimated,8,Not Recorded,Not Determined,N/A,N/A,Not Recorded,Flood,Yes,BBI,0.3,BBI,0.3,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,No,Yes,,Found Manata by N jetty of BBI at 13:16. Gonzo got ID shot quickly then left at 13:24. Behavior not recorded.,22ed2df8-6cde-4a30-8305-853ec1d57ca3,VF 9/28/22,0,0
374,2021,Nov,11/29/2021,88,FMP Survey,Nemo,Yes,Male,Immature,Normal,26.549190,-80.038410,13:40,17.7,5.4,75.4,24.11,,,Sand,,,Not Estimated,6,Not Recorded,Not Determined,N/A,N/A,Not Recorded,Flood,Yes,BBI,0.6,BBI,0.6,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,No,Yes,,Found Manta 88 at 13:40. CP got ID shot and left at 13:46. No other details recorded.,55a14eb3-256b-40d9-a05a-6c6bad4798aa,VF 9/28/22,0,1
375,2021,Nov,11/30/2021,124,FMP Survey,,Yes,Female,Unknown,Normal,26.817040,-80.032900,12:22,14.2,4.33,75.8,24.33,5.88,35.9,Sand,8,2.4,Field Estimation,16,2,Traveling,N/A,N/A,North,Flood,No,LWI,5,LWI,5,LWI,No,No,N/A,N/A,N/A,Yes,Ventral,Shark,Healed,No,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 124 traveling north at 12:22. VF spotted from boat before the drone. VF got ID shot easily. Manta very relaxed. Didn't ZP sample as just did one nearby at McAP.  Injury (shark bite?) on left posterior ventral. Lots of remora around manta, weater super clear. Left at 12:38.",63893164-0c28-4093-a424-79bf167916c8,VF 9/28/22,0,1
376,2021,Dec,12/2/2021,78,FMP Survey,Sasquatch,Yes,Male,Immature,Normal,26.570200,-80.035780,10:14,16.9,5.15,76.6,24.78,5.82,36.2,Sand,8.76,2.7,Laser Photogrammetry,11,2,Feeding,Bottom,No,None,Ebb,No,BBI,2.8,BBI,2.8,BBI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,Yes,Yes,Yes,,"Found Manta 78 feeding at 10:14. Manta feeding on bottom. VF got ID shot easily. Then VF got in with lasers and Ivy got in as well. Left at 10:25 to investigate 2nd manta feeding nearby, then ZP sampled.",08cb5fa5-2ef4-4687-8b68-2b004a15f30c,VF 9/28/22,0,0
377,2021,Dec,12/2/2021,96,FMP Survey,Scarface,Yes,Male,Immature,Normal,26.570360,-80.035520,10:25,17.1,5.21,76.5,24.72,5.82,36.2,Sand,8,2.4,Field Estimation,7,1,Feeding,Bottom,No,None,Ebb,No,BBI,2.9,BBI,2.9,BBI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,Yes,No,Yes,,"Found Manta 96 feeding near Manta 78 at 10:25. VF got ID shot, but manta very skittish. ZP sampled after getting ID shot.",0b3e046f-c63c-41d6-b07e-18f6d608d3d5,VF 9/28/22,0,0
378,2021,Dec,12/4/2021,88,Drone Survey,Nemo,No,Male,Immature,Normal,26.555290,-80.040442,8:29,,,,,,,Sand,,,,,,,,,,High,No,BBI,1.1,BBI,1.1,BBI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,Yes,No,,Found with drone on AM and PM. Found at 8:29 N of BBI traveling. Then found feeding in green water at 17:00. Both encounters was filmed with mulitple other mantas around. Only able to identify Nemo from missing CF and dorsal coloration.,,,0,0
379,2021,Dec,12/5/2021,123,FMP Survey,,Yes,Male,Immature,Normal,26.581400,-80.035370,9:08,14.6,4.45,74.9,23.83,,,Sand,8,2.4,Field Estimation,13,1,Unclear,N/A,N/A,Not Recorded,High,No,LWP,4.1,BBI,3.5,LWP,No,No,N/A,No,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found without drone at 9:08, lost before able to get in but found again with drone at 9:15. JP got ID shot. Manta flipped up to inspect her but not super friendly. The lure that was there last week has fallen out.  Possibly feeding, but unable to confirm. Injury first noticed today, but checked photos from 11/29 and saw injury there. Left at 9:21.",9d84ad81-601e-4546-9ed7-fac257d70a32,VF 9/28/22,0,0
380,2021,Dec,12/5/2021,117,FMP Survey,Larry Lee,Yes,Female,Unknown,Normal,26.544520,-80.039410,9:39,12.3,3.75,75.2,24,,,Hardbottom,8,2.4,Field Estimation,12,1,Traveling,N/A,N/A,East,High,Yes,BBI,0.3,BBI,0.3,BBI,Yes,No,N/A,Yes,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,No,Yes,,Found Manta 117 inside BBI with drone at 9:39. Followed her swimming out of inlet by N jetty fishing lines. JP jumped in east of inlet and got ID shot. Fairly skittish. Left at 9:51. She still had fishing line but was not photographed.,79b6c7df-baa9-4cbb-8f30-07a34775ae1b,VF 9/28/22,0,0
381,2021,Dec,12/5/2021,121,FMP Survey,,Yes,Male,Immature,Normal,26.533490,-80.041390,10:05,24.4,7.44,75.4,24.11,,,Sand,9,2.7,Field Estimation,105,2,Feeding ,Bottom,No,North,High,No,BBI,1.3,BBI,1.3,BBI,No,Yes,Anterior Ventral,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 121 traveling north at 10:05. BT got ID shot and estimated DW at 9ft. Manta pretty chill. Left at 10:16. Found again at 11:20 bottom feeding with Skye, Nova and Valentina in inlet outflow. Left feeding mantas at 11:50- getting deeper. Fishing line difficult to see in video - mono trailing from right side above gill slits.",3dd3ad4a-3d9a-4345-98a9-d50376fb6808,VF 9/28/22,0,0
382,2021,Dec,12/5/2021,64,FMP Survey,Skye,Yes,Male,Immature,Normal,26.541660,-80.041870,10:15,11.4,3.48,75.1,23.94,,,Sand,,,Not Estimated,95,2,Feeding ,Bottom,No,North,High,Yes,BBI,0.4,BBI,0.4,BBI,Yes,Yes,Anterior Dorsal,N/A,Dorsal Pectoral,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Found Manta 64 at 10:15 traveling north. BT got ID shot easily. Small hook on left upper jaw. Second hook and trailing line in left shoulder. Left at 10:26 traveling across BBI. Found again at 11:20 bottom feeding with 121, Nova and Valentina in inlet outflow. Left feeding mantas at 11:50- getting deeper.",5e3f6f6a-0b3d-478e-8982-c909ac0b7dbd,VF 9/28/22,0,0
383,2021,Dec,12/5/2021,108,FMP Survey,Valentina,Yes,Female,Unknown,Normal,26.545770,-80.039560,10:28,11.8,3.6,75,23.89,,,Sand,9.28,2.8,Drone Estimation,82,2,Feeding ,Bottom,No,North,High,Yes,BBI,0.3,BBI,0.3,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,No,Yes,,"Found Manta 108 traveling north at 10:28. BT got ID shot, pretty chill. Left at 10:34. Found again at 11:20 bottom feeding with Skye, Nova and 121 in inlet outflow. Left feeding mantas at 11:50- getting deeper.",d7de96e9-2d69-45a2-84dc-d728ed67854c,VF 9/29/22,0,0
384,2021,Dec,12/5/2021,93,FMP Survey,Nova,Yes,Female,Unknown,Normal,26.544590,-80.038140,10:51,21.8,6.65,75.1,23.94,6.43,35.7,Sand,,,Not Estimated,59,2,Feeding ,Bottom,No,None,High,Yes,BBI,0.4,BBI,0.4,BBI,Yes,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,No,Yes,,"Found Nova with 3 other mantas (64, 121, 108) at 10:51. All mantas feeding on bottom under outgoing tide water. (YSI measurements taken at 4 m). Left feeding mantas at 11:50- getting deeper.",85437582-2228-49d7-b3e5-5e06d3a9014e,VF 9/29/22,0,0
385,2021,Dec,12/8/2021,59,Drone Survey,Hugo,Yes,Male,Immature,Normal,26.532977,-80.045147,12:00,7,2.13,Not Recorded,,,,Sand,,,Not Estimated,90,Not Recorded,Feeding ,Bottom,No,None,High,No,BBI,1.4,BBI,1.4,BBI,No,Yes,Anterior Dorsal,Yes,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Droned from beach after aerial survey found many feeding mantas near OFP.  VF and JP went to beach and took turns snorkeling with and droning for mantas. Mantas were feeding from back and forth, slowly getting closer (more north) to inlet as time passed. Mantas in general very relaxed around us and not difficult to get ID shots. JP was able to sit in same place and identify mantas as they swam by. We identified six mantas (59,78,88,93,94, 121)- JP also saw 117 but gopro wasn't filming when she got ID shot and so she is not included here. Mantas were observed from ~12:00 to 13:30. Used same location and time information for all encounters. Manta 59 still has fishing hook in upper left jaw that was first seen on 11/28/21.",ca339ba8-fc22-4053-84e0-8f8be52a14c1,VF 9/29/22,0,0
386,2021,Dec,12/8/2021,78,Drone Survey,Sasquatch,Yes,Male,Immature,Normal,26.532977,-80.045147,12:00,7,2.13,Not Recorded,,,,Sand,,,Not Estimated,90,Not Recorded,Feeding ,Bottom,No,None,High,No,BBI,1.4,BBI,1.4,BBI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Droned from beach after aerial survey found many feeding mantas near OFP.  VF and JP went to beach and took turns snorkeling with and droning for mantas. Mantas were feeding from back and forth, slowly getting closer (more north) to inlet as time passed. Mantas in general very relaxed around us and not difficult to get ID shots. JP was able to sit in same place and identify mantas as they swam by. We identified six mantas (59,78,88,93,94, 121)- JP also saw 117 but gopro wasn't filming when she got ID shot and so she is not included here. Mantas were observed from ~12:00 to 13:30. Used same location and time information for all encounters.",c79ad889-1570-4814-a5a8-2d0652025374,VF 9/29/22,0,0
387,2021,Dec,12/8/2021,88,Drone Survey,Nemo,Yes,Male,Immature,Normal,26.532977,-80.045147,12:00,7,2.13,Not Recorded,,,,Sand,,,Not Estimated,90,Not Recorded,Feeding ,Bottom,No,None,High,No,BBI,1.4,BBI,1.4,BBI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,Yes,Yes,,"Droned from beach after aerial survey found many feeding mantas near OFP.  VF and JP went to beach and took turns snorkeling with and droning for mantas. Mantas were feeding from back and forth, slowly getting closer (more north) to inlet as time passed. Mantas in general very relaxed around us and not difficult to get ID shots. JP was able to sit in same place and identify mantas as they swam by. We identified six mantas (59,78,88,93,94, 121)- JP also saw 117 but gopro wasn't filming when she got ID shot and so she is not included here. Mantas were observed from ~12:00 to 13:30. Used same location and time information for all encounters.",a10458f9-4044-4284-af47-bda955a2c8ed,VF 9/29/22,0,0
388,2021,Dec,12/8/2021,93,Drone Survey,Nova,Yes,Female,Unknown,Normal,26.532977,-80.045147,12:00,7,2.13,Not Recorded,,,,Sand,,,Not Estimated,90,Not Recorded,Feeding ,Bottom,No,None,High,No,BBI,1.4,BBI,1.4,BBI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Droned from beach after aerial survey found many feeding mantas near OFP.  VF and JP went to beach and took turns snorkeling with and droning for mantas. Mantas were feeding from back and forth, slowly getting closer (more north) to inlet as time passed. Mantas in general very relaxed around us and not difficult to get ID shots. JP was able to sit in same place and identify mantas as they swam by. We identified six mantas (59,78,88,93,94, 121)- JP also saw 117 but gopro wasn't filming when she got ID shot and so she is not included here. Mantas were observed from ~12:00 to 13:30. Used same location and time information for all encounters.",cfdca1c4-0642-48df-ae07-d297e5a36f2e,VF 9/29/22,0,0
389,2021,Dec,12/8/2021,94,Drone Survey,,Yes,Male,Immature,Normal,26.532977,-80.045147,12:00,7,2.13,Not Recorded,,,,Sand,,,Not Estimated,90,Not Recorded,Feeding ,Bottom,No,None,High,No,BBI,1.4,BBI,1.4,BBI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,Yes,No,No,No,No,No,Yes,Yes,,"Notch on dorsal fin. Droned from beach after aerial survey found many feeding mantas near OFP.  VF and JP went to beach and took turns snorkeling with and droning for mantas. Mantas were feeding from back and forth, slowly getting closer (more north) to inlet as time passed. Mantas in general very relaxed around us and not difficult to get ID shots. JP was able to sit in same place and identify mantas as they swam by. We identified six mantas (59,78,88,93,94, 121)- JP also saw 117 but gopro wasn't filming when she got ID shot and so she is not included here. Mantas were observed from ~12:00 to 13:30. Used same location and time information for all encounters.",abc553fa-8804-4527-9b45-7e39248b1249,VF 9/29/22,0,0
390,2021,Dec,12/8/2021,121,Drone Survey,,Yes,Male,Immature,Normal,26.532977,-80.045147,12:00,7,2.13,Not Recorded,,,,Sand,,,Not Estimated,90,Not Recorded,Feeding ,Bottom,No,None,High,No,BBI,1.4,BBI,1.4,BBI,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,,No,No,No,No,No,No,Yes,Yes,,"Droned from beach after aerial survey found many feeding mantas near OFP.  VF and JP went to beach and took turns snorkeling with and droning for mantas. Mantas were feeding from back and forth, slowly getting closer (more north) to inlet as time passed. Mantas in general very relaxed around us and not difficult to get ID shots. JP was able to sit in same place and identify mantas as they swam by. We identified six mantas (59,78,88,93,94, 121)- JP also saw 117 but gopro wasn't filming when she got ID shot and so she is not included here. Mantas were observed from ~12:00 to 13:30. Used same location and time information for all encounters.",b2603115-13b9-4120-b075-9a26c7aa9a0e,VF 9/29/22,0,0
